Open	High	Low	Close	Volume	volume_em	volume_vpt	volume_nvi	volatility_atr	volatility_bbh	volatility_bbl	volatility_bbm	volatility_bbhi	volatility_bbli	volatility_kchi	volatility_kcli	volatility_dcli	trend_macd	trend_ema_fast	trend_ema_slow	trend_vortex_diff	trend_dpo	trend_kst	trend_kst_sig	trend_kst_diff	trend_ichimoku_b	trend_aroon_up	momentum_mfi	momentum_stoch	momentum_wr	momentum_ao	others_dr	others_cr
301.13	301.13	301.13	301.13	0.42643	0.0	-0.015609669837468186	1000.0	0.3877354709418834	301.13	301.13	301.13	0.0	0.0	0.0	0.0	0.0	0.0	301.13	301.13	0.0	5.780280280278646	-18.833778637196314	-18.833778637196314	0.0	301.13	4.0	0.0	50.0	-50.0	0.0	-1.8833778637196263	0.0
301.13	301.13	301.13	301.13	2.75787	0.0	-0.008031288224259624	1000.0	0.3600400801603203	301.13	301.13	301.13	0.0	0.0	0.0	0.0	0.0	0.0	301.13	301.13	0.0	5.780280280278646	-18.833778637196314	-18.833778637196314	0.0	301.13	4.0	0.0	50.0	-50.0	0.0	0.0	0.0
300.0	300.0	300.0	300.0	0.0993	0.0	-0.00037262644040779577	996.2474678710191	0.4150372172917257	302.05814494170187	299.4485217249648	300.75333333333333	0.0	0.0	0.0	0.0	0.0	-0.03504123238451484	300.68896073903	300.7240019714145	0.0	6.156946946945311	-20.06106456037453	-19.242873944922383	-0.8181906154521457	300.565	4.0	0.0	0.0	-100.0	0.0	-0.37525321289808566	-0.37525321289808566
300.0	300.0	300.0	300.0	0.31389	0.0	-0.00037262644040779577	996.2474678710191	0.38539170177088816	301.86981160836854	299.26018839163146	300.565	0.0	0.0	0.0	0.0	0.0	-0.05011990016811296	300.47148275862065	300.52160265878877	0.0	6.345280280278644	-20.674707521963633	-19.600832339182695	-1.073875182780938	300.565	4.0	0.0	0.0	-100.0	0.0	0.0	-0.37525321289808566
301.13	301.13	301.13	301.13	0.23202	0.0	0.0008739419999999966	1000.0	0.43857800878725295	301.91585297996164	299.44014702003835	300.678	0.0	0.0	0.0	0.0	0.0	-0.012292972032525995	300.6503995395782	300.6626925116107	0.0	6.232280280278644	-20.30652174501017	-19.74197022034819	-0.5645515246619794	300.565	4.0	30.634662204064924	100.0	-0.0	0.0	0.3766666666666696	0.0
300.0	301.13	300.0	301.13	0.75705	-0.16866785549170987	0.0008739419999999966	1000.0	0.4879652938738774	301.9203923149905	299.58627435167614	300.75333333333333	0.0	0.0	0.0	0.0	0.0	0.010677208722825071	300.76696768314713	300.7562904744243	0.0	6.156946946945311	-20.06106456037453	-19.79515261035258	-0.26591195002194823	300.565	4.0	30.634662204064924	100.0	-0.0	-0.09416666666669471	0.0	0.0
300.1	300.1	300.1	300.1	0.90018	-0.14055654624309158	-0.003079020356656512	1000.0	0.5266820585971699	301.8342799211999	299.48572007880006	300.65999999999997	0.0	0.0	0.0	0.0	0.0	-0.021436437472857506	300.6181361781947	300.63957261566753	0.0	6.250280280278673	-20.365170806825756	-19.876583781277322	-0.4885870255484335	300.565	4.0	14.023755557201952	8.849557522125941	-91.15044247787405	-0.22028571428575106	-0.34204496396904593	-0.34204496396904593
300.1	300.1	300.1	300.1	0.0	-0.14055654624309158	-0.003079020356656512	1000.0	0.4890619115545149	301.74704055985205	299.4329594401479	300.59	0.0	0.0	0.0	0.0	0.0	-0.042624953684139655	300.51000914389334	300.5526340975775	0.0	6.320280280278666	-20.59325049166418	-19.966167120075678	-0.6270833715885011	300.565	4.0	14.023755557201952	8.849557522125941	-91.15044247787405	-0.14037500000006276	0.0	-0.34204496396904593
300.1	300.1	298.0	298.0	0.31493	-1.120699311252872	-0.002203775408197291	1000.0	0.6041289178720513	302.3400587656618	298.2643856787826	300.3022222222222	0.0	0.0	0.0	0.0	0.0	-0.16083768996008985	300.0134399965408	300.1742776865009	0.0	6.608058058056429	-21.53091141822217	-20.14002759764751	-1.3908838205746612	299.565	4.0	11.796425526776446	0.0	-100.0	-0.1671111111111827	-0.6997667444185396	-1.0394181914787581
298.0	298.0	298.0	298.0	0.0	-1.120699311252872	-0.002203775408197291	1000.0	0.5609768523097619	302.4826946901026	297.6613053098974	300.072	0.0	0.0	0.0	0.0	0.0	-0.24235462762135285	299.63189389970853	299.8742485273299	0.0	6.838280280278639	-22.28104015946856	-20.523056655677763	-1.757983503790797	299.565	4.0	11.796425526776446	0.0	-100.0	-0.5575000000000614	0.0	-1.0394181914787581
298.0	298.0	298.0	298.0	0.0	-1.120699311252872	0.0	1000.0	0.5209070771447789	302.4896796898652	297.2775930374075	299.88363636363636	0.0	0.0	0.0	0.0	0.0	-0.29786123576940327	299.33329666380297	299.6311578995724	0.0	7.026643916642286	-22.95206188087232	-20.980643682752874	-1.9714181981194479	299.565	4.0	11.796425526776446	0.0	-100.0	-0.8777272727273839	0.0	-1.0394181914787581
298.0	298.0	298.0	298.0	0.0	-1.120699311252872	0.0	1000.0	0.4836994287772947	302.438999890139	297.0143334431943	299.72666666666663	0.0	0.0	0.0	0.0	0.0	-0.3345035564101977	299.09624089400455	299.43074445041475	0.0	1.4033333333333644	-23.582167489117197	-21.371877341502064	-2.210290147615133	299.565	4.0	11.796425526776446	0.0	-100.0	-1.1370833333334076	0.0	-1.0394181914787581
