Open	High	Low	Close	Volume	volume_adi	volume_obv	volume_cmf	volume_fi	volume_em	volume_vpt	volume_nvi	volatility_atr	volatility_bbh	volatility_bbl	volatility_bbm	volatility_bbhi	volatility_bbli	volatility_kcc	volatility_kch	volatility_kcl	volatility_kchi	volatility_kcli	volatility_dch	volatility_dcl	volatility_dchi	volatility_dcli	trend_macd	trend_macd_signal	trend_macd_diff	trend_ema_fast	trend_ema_slow	trend_adx	trend_adx_pos	trend_adx_neg	trend_vortex_ind_pos	trend_vortex_ind_neg	trend_vortex_diff	trend_trix	trend_mass_index	trend_cci	trend_dpo	trend_kst	trend_kst_sig	trend_kst_diff	trend_ichimoku_a	trend_ichimoku_b	trend_visual_ichimoku_a	trend_visual_ichimoku_b	trend_aroon_up	trend_aroon_down	trend_aroon_ind	momentum_rsi	momentum_mfi	momentum_tsi	momentum_uo	momentum_stoch	momentum_stoch_signal	momentum_wr	momentum_ao	others_dr	others_dlr	others_cr
301.13	301.13	301.13	301.13	0.42643000000000003	0.7985503868647464	0.0	0.0	0.0	0.0	-0.015609669837468188	1000.0	0.3877354709418834	301.13	301.13	301.13	0.0	0.0	301.13	301.13	301.13	0.0	0.0	301.13	301.13	0.0	0.0	0.0	0.0	0.0	301.13	301.13	0.0	0.0	0.0	1.0	1.0	0.0	-1.8586478814369434	0.0	0.0	5.780280280278646	-18.833778637196314	-18.833778637196314	0.0	301.13	301.13	306.5821896896902	306.17557557557706	4.0	4.0	0.0	50.0	0.0	-100.0	0.0	50.0	50.0	-50.0	0.0	-1.8833778637196263	0.0	0.0
301.13	301.13	301.13	301.13	2.75787	0.0	0.0	0.0	0.0	0.0	-0.008031288224259626	1000.0	0.3600400801603203	301.13	301.13	301.13	0.0	0.0	301.13	301.13	301.13	0.0	0.0	301.13	301.13	0.0	0.0	0.0	0.0	0.0	301.13	301.13	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5.780280280278646	-18.833778637196314	-18.833778637196314	0.0	301.13	301.13	306.5821896896902	306.17557557557706	4.0	4.0	0.0	50.0	0.0	-100.0	0.0	50.0	50.0	-50.0	0.0	0.0	0.0	0.0
300.0	300.0	300.0	300.0	0.0993	0.0	-0.0993	0.0	0.36965689999999857	0.0	-0.00037262644040779577	996.2474678710191	0.4150372172917257	302.05814494170187	299.4485217249648	300.75333333333333	0.0	0.0	300.75333333333333	300.75333333333333	300.75333333333333	0.0	0.0	301.13	300.0	0.0	0.0	-0.03504123238451484	-0.014361160813325754	-0.02068007157118909	300.68896073903	300.7240019714145	0.0	0.0	0.0	1.0	1.0	0.0	-0.020380002242052074	0.0	-100.0	6.156946946945311	-20.06106456037453	-19.242873944922383	-0.8181906154521457	300.565	300.565	306.5821896896902	306.17557557557706	4.0	12.0	-8.0	0.0	0.0	-100.0	0.0	0.0	33.333333333333336	-100.0	0.0	-0.37525321289808566	-0.37595905411489383	-0.37525321289808566
300.0	300.0	300.0	300.0	0.31389	0.0	0.0	0.0	2.7616973999999885	0.0	-0.00037262644040779577	996.2474678710191	0.38539170177088816	301.86981160836854	299.26018839163146	300.565	0.0	0.0	300.565	300.565	300.565	0.0	0.0	301.13	300.0	0.0	0.0	-0.05011990016811296	-0.026474554903700827	-0.023645345264412136	300.47148275862065	300.52160265878877	0.0	0.0	0.0	1.0	1.0	0.0	-0.024586668440299893	0.0	-66.66666666666667	6.345280280278644	-20.674707521963633	-19.600832339182695	-1.073875182780938	300.565	300.565	306.5821896896902	306.17557557557706	4.0	12.0	-8.0	0.0	0.0	-100.0	0.0	0.0	16.666666666666668	-100.0	0.0	0.0	0.0	-0.37525321289808566
301.13	301.13	301.13	301.13	0.23201999999999998	0.0	0.13271999999999998	0.0	0.14997359999999937	0.0	0.0008739419999999965	1000.0	0.43857800878725295	301.91585297996164	299.44014702003835	300.678	0.0	0.0	300.678	300.678	300.678	0.0	0.0	301.13	300.0	0.0	0.0	-0.012292972032525995	-0.02225585462074782	0.009962882588221825	300.6503995395782	300.6626925116107	0.0	0.0	0.0	1.0	1.0	0.0	-0.01828709987852699	0.0	55.555555555555564	6.232280280278644	-20.30652174501017	-19.74197022034819	-0.5645515246619794	300.565	300.565	306.5821896896902	306.17557557557706	4.0	12.0	-8.0	57.106598984771566	30.634662204064924	-95.78048658673346	14.054236427201205	100.0	33.333333333333336	-0.0	0.0	0.3766666666666696	0.37595905411489383	0.0
300.0	301.13	300.0	301.13	0.75705	0.75705	0.0	0.1650583443801019	0.500770799999998	-0.16866785549170987	0.0008739419999999965	1000.0	0.4879652938738774	301.9203923149905	299.58627435167614	300.75333333333333	0.0	0.0	300.69055555555553	300.87888888888887	300.5022222222222	0.0	0.0	301.13	300.0	0.0	0.0	0.010677208722825071	-0.013329163411738777	0.024006372134563848	300.76696768314713	300.7562904744243	0.0	0.0	0.0	1.0	1.0	0.0	-0.01232253469749253	3.6892800000000006	9.09090909091171	6.156946946945311	-20.06106456037453	-19.79515261035258	-0.26591195002194823	300.565	300.565	306.5821896896902	306.17557557557706	4.0	12.0	-8.0	57.10659898477157	30.634662204064924	-92.89945425514605	24.64483015704862	100.0	66.66666666666667	-0.0	-0.09416666666669471	0.0	0.0	0.0
300.1	300.1	300.1	300.1	0.90018	0.75705	-0.76746	0.13797810721849407	-0.6882047999999817	-0.14055654624309158	-0.003079020356656512	1000.0	0.5266820585971699	301.8342799211999	299.48572007880006	300.65999999999997	0.0	0.0	300.6061904761905	300.767619047619	300.4447619047619	0.0	0.0	301.13	300.0	0.0	0.0	-0.021436437472857506	-0.015380898194216872	-0.0060555392786406335	300.6181361781947	300.63957261566753	0.0	0.0	0.0	1.0	1.0	0.0	-0.010763612774639013	5.5972075332116	-68.7263323173526	6.250280280278673	-20.365170806825756	-19.876583781277322	-0.4885870255484335	300.565	300.565	306.5821896896902	306.17557557557706	4.0	12.0	-8.0	33.730766027300184	14.023755557201952	-90.89132468129965	22.15625392538981	8.849557522125941	69.61651917404198	-91.15044247787405	-0.22028571428575106	-0.34204496396904593	-0.34263127510287816	-0.34204496396904593
300.1	300.1	300.1	300.1	0.0	0.0	0.0	0.13797810721849407	0.7797614999999793	-0.14055654624309158	-0.003079020356656512	1000.0	0.4890619115545149	301.74704055985205	299.4329594401479	300.59	0.0	0.0	300.54291666666666	300.6841666666666	300.40166666666664	0.0	0.0	301.13	300.0	0.0	0.0	-0.042624953684139655	-0.02192815705302236	-0.020696796631117294	300.51000914389334	300.5526340975775	0.0	0.0	0.0	1.0	1.0	0.0	-0.01055453771814393	6.9053414520167555	-59.904198365733265	6.320280280278666	-20.59325049166418	-19.966167120075678	-0.6270833715885011	300.565	300.565	306.5821896896902	306.17557557557706	4.0	12.0	-8.0	33.73076602730019	14.023755557201952	-89.35984272395633	38.71337837914264	8.849557522125941	39.23303834808396	-91.15044247787405	-0.14037500000006276	0.0	0.0	-0.34204496396904593
300.1	300.1	298.0	298.0	0.31493000000000004	-0.31493000000000004	-1.0823900000000002	0.07620564423691799	1.2290250000000131	-1.1206993112528718	-0.0022037754081972913	1000.0	0.6041289178720513	302.3400587656618	298.2643856787826	300.3022222222222	0.0	0.0	300.3381481481481	300.69703703703703	299.9792592592592	0.0	0.0	301.13	298.0	0.0	0.0	-0.16083768996008985	-0.0540169482883013	-0.10682074167178854	300.0134399965408	300.1742776865009	0.0	0.0	0.0	1.0	1.0	0.0	-0.014701185793412	9.429809143347647	-176.09820836098072	6.608058058056429	-21.53091141822217	-20.14002759764751	-1.3908838205746612	299.565	299.565	306.5821896896902	306.17557557557706	4.0	36.0	-32.0	15.977708198353175	11.796425526776446	-88.39066909987103	27.68157170455663	0.0	5.899705014750623	-100.0	-0.1671111111111827	-0.6997667444185396	-0.7022265940916483	-1.0394181914787581
298.0	298.0	298.0	298.0	0.0	-0.31493000000000004	0.0	0.07620564423691799	-0.0	-1.1206993112528718	-0.0022037754081972913	1000.0	0.5609768523097619	302.4826946901026	297.6613053098974	300.072	0.0	0.0	300.10433333333333	300.4273333333333	299.7813333333333	0.0	0.0	301.13	298.0	0.0	0.0	-0.24235462762135285	-0.09621552144618607	-0.1461391061751668	299.63189389970853	299.8742485273299	0.0	0.0	0.0	1.0	1.0	0.0	-0.01976685489597213	11.04224121988398	-188.2566946979197	6.838280280278639	-22.28104015946856	-20.523056655677763	-1.757983503790797	299.565	299.565	306.5821896896902	306.17557557557706	4.0	36.0	-32.0	15.977708198353179	11.796425526776446	-87.62276059055276	31.834098781836417	0.0	2.9498525073753092	-100.0	-0.5575000000000614	0.0	0.0	-1.0394181914787581
