Open	High	Low	Close	Volume
303.11	303.11	303.11	303.11	0.67229
303.11	303.11	303.11	303.11	0.0
303.11	303.11	303.11	303.11	11.84821
303.11	303.11	303.11	303.11	7.44328
303.11	303.11	303.11	303.11	3.80517
304.44	304.44	304.44	304.44	4.11563
304.44	304.44	304.44	304.44	14.8851
302.75	303.61	302.75	303.61	63.61278
303.6	303.61	303.6	303.61	9.04174
303.6	303.6	303.6	303.6	15.82627
303.61	303.61	303.61	303.61	1.06029
303.61	303.61	303.61	303.61	7.51124
303.61	303.61	303.61	303.61	0.60259
303.61	303.61	303.61	303.61	0.30446
303.61	303.61	303.61	303.61	2.03443
303.61	303.61	303.61	303.61	0.0
303.61	303.61	303.61	303.61	0.82463
303.61	303.61	303.61	303.61	0.38861
303.61	303.61	303.61	303.61	0.32128
303.61	303.61	303.61	303.61	0.84631
303.61	303.61	302.68	302.68	1.56616
302.68	302.68	302.68	302.68	0.0
302.68	302.68	301.9	302.68	16.01847
302.68	302.68	302.68	302.68	3.53001
302.68	302.68	302.68	302.68	0.0
302.68	302.68	302.68	302.68	1.48934
302.68	302.68	302.68	302.68	0.0713
302.68	302.68	302.68	302.68	10.34557
302.68	302.68	302.68	302.68	0.48261
302.68	302.68	302.68	302.68	0.17184
302.68	302.68	302.6	302.6	17.58282
302.68	302.68	302.68	302.68	0.15837
303.61	303.61	303.61	303.61	0.6909
303.61	303.61	303.61	303.61	0.48775
303.0	303.61	303.0	303.61	15.56647
303.61	303.61	303.61	303.61	2.4502
303.61	303.61	303.61	303.61	9.12275
303.61	303.61	303.61	303.61	0.0
303.61	303.61	303.61	303.61	2.95123
302.75	303.61	302.75	303.61	59.77396
303.61	303.61	303.61	303.61	6.22331
303.61	303.61	303.61	303.61	5.07846
303.61	303.61	303.61	303.61	3.3939
303.61	303.61	303.61	303.61	2.07377
303.61	303.61	303.61	303.61	4.15719
303.61	303.61	303.61	303.61	30.21581
303.61	303.71	303.61	303.71	17.32766
303.71	304.97	303.71	304.97	21.80595
304.61	304.61	304.61	304.61	23.58056
304.61	304.61	304.61	304.61	0.0
304.61	304.61	304.61	304.61	4.95575
304.61	304.61	304.61	304.61	5.34458
303.8	304.61	303.8	304.61	92.68562
304.61	304.61	304.61	304.61	3.90919
304.61	304.61	304.61	304.61	32.71312
304.61	304.61	304.61	304.61	10.80628
304.61	304.61	304.61	304.61	8.65124
303.8	304.61	303.8	304.61	54.88612
304.61	304.61	304.61	304.61	11.95186
304.61	304.61	304.61	304.61	49.36699
304.61	304.61	304.61	304.61	0.0
304.61	304.61	304.61	304.61	0.0
304.61	304.61	304.61	304.61	7.20129
304.61	304.61	304.61	304.61	0.01444
304.61	304.61	304.61	304.61	7.78752
304.61	304.61	304.61	304.61	0.31215
304.61	304.61	304.61	304.61	9.98174
304.61	304.61	304.61	304.61	1.89411
304.61	304.61	304.61	304.61	4.38976
304.61	304.61	304.61	304.61	14.75726
304.61	304.61	304.61	304.61	7.89193
304.61	304.61	304.61	304.61	5.66706
304.61	304.61	304.61	304.61	1.47414
304.61	304.61	304.61	304.61	1.95715
304.61	304.61	304.61	304.61	8.65797
305.11	305.11	305.11	305.11	8.26418
304.53	304.53	304.53	304.53	49.73239
305.11	305.11	305.11	305.11	3.06321
305.11	305.11	305.11	305.11	4.25357
305.11	306.13	305.11	306.13	20.55851
306.13	306.13	305.62	305.62	9.40104
305.62	305.62	305.62	305.62	28.22262
305.62	305.62	305.62	305.62	6.00198
305.62	305.62	305.62	305.62	20.24586
305.62	305.62	305.62	305.62	3.41905
307.09	307.09	304.95	304.95	21.21736
307.96	307.96	307.96	307.96	6.73912
307.96	307.96	307.96	307.96	3.07343
307.95	307.95	307.39	307.95	8.21032
307.95	307.95	307.95	307.95	0.0
307.95	307.95	307.95	307.95	0.2303
307.95	308.65	307.95	308.65	0.94337
307.95	307.95	307.95	307.95	2.65719
307.95	307.95	307.95	307.95	0.0
308.65	308.65	308.65	308.65	0.77143
308.65	308.65	308.65	308.65	0.76534
308.65	308.65	308.65	308.65	4.63109
308.65	308.65	308.65	308.65	1.14015
308.65	308.95	308.65	308.95	2.93773
308.95	308.95	308.95	308.95	1.03055
308.95	308.95	308.95	308.95	0.53297
308.95	309.48	308.95	309.48	2.67079
308.43	308.43	308.43	308.43	49.14792
309.48	309.48	309.48	309.48	0.53077
309.48	309.48	309.48	309.48	0.4368
309.48	309.48	309.48	309.48	0.44378
309.48	309.48	309.48	309.48	0.0
309.48	309.48	307.39	307.39	0.74579
307.39	309.48	307.39	309.48	0.94466
309.48	309.48	309.48	309.48	1.21509
309.48	309.48	309.48	309.48	0.09906
309.48	309.48	309.48	309.48	6.26996
