Date,Open,High,Low,Close,Volume
2017-08-17 04:00:00.000000,301.13000000,301.13000000,301.13000000,301.13000000,0.42643000
2017-08-17 04:01:00.000000,301.13000000,301.13000000,301.13000000,301.13000000,2.75787000
2017-08-17 04:02:00.000000,300.00000000,300.00000000,300.00000000,300.00000000,0.09930000
2017-08-17 04:03:00.000000,300.00000000,300.00000000,300.00000000,300.00000000,0.31389000
2017-08-17 04:04:00.000000,301.13000000,301.13000000,301.13000000,301.13000000,0.23202000
2017-08-17 04:05:00.000000,300.00000000,301.13000000,300.00000000,301.13000000,0.75705000
2017-08-17 04:06:00.000000,300.10000000,300.10000000,300.10000000,300.10000000,0.90018000
2017-08-17 04:07:00.000000,300.10000000,300.10000000,300.10000000,300.10000000,0.00000000
2017-08-17 04:08:00.000000,300.10000000,300.10000000,298.00000000,298.00000000,0.31493000
2017-08-17 04:09:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000
2017-08-17 04:10:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000
2017-08-17 04:11:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000
2017-08-17 04:12:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000
2017-08-17 04:13:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000
2017-08-17 04:14:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000
2017-08-17 04:15:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,9.59614000
2017-08-17 04:16:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000
2017-08-17 04:17:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000
2017-08-17 04:18:00.000000,298.00000000,298.00000000,298.00000000,298.00000000,2.91114000
2017-08-17 04:19:00.000000,299.05000000,299.05000000,299.05000000,299.05000000,0.37758000
2017-08-17 04:20:00.000000,299.05000000,299.05000000,299.05000000,299.05000000,0.17585000
2017-08-17 04:21:00.000000,299.05000000,300.10000000,299.05000000,300.10000000,6.40719000
2017-08-17 04:22:00.000000,300.10000000,300.10000000,300.10000000,300.10000000,0.00000000
2017-08-17 04:23:00.000000,300.10000000,300.10000000,300.10000000,300.10000000,0.00000000
2017-08-17 04:24:00.000000,300.10000000,300.10000000,300.10000000,300.10000000,0.00000000
2017-08-17 04:25:00.000000,299.40000000,299.40000000,299.40000000,299.40000000,0.54316000
2017-08-17 04:26:00.000000,299.40000000,300.80000000,299.40000000,300.80000000,4.77061000
2017-08-17 04:27:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,0.08994000
2017-08-17 04:28:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,0.05886000
2017-08-17 04:29:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,6.51018000
2017-08-17 04:30:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,0.48600000
2017-08-17 04:31:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,0.00000000
2017-08-17 04:32:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,17.93696000
2017-08-17 04:33:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,1.95841000
2017-08-17 04:34:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,0.40960000
2017-08-17 04:35:00.000000,299.39000000,299.39000000,299.39000000,299.39000000,24.55420000
2017-08-17 04:36:00.000000,300.79000000,300.79000000,300.79000000,300.79000000,0.86993000
2017-08-17 04:37:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,0.90661000
2017-08-17 04:38:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,0.00000000
2017-08-17 04:39:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,1.26188000
2017-08-17 04:40:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,0.70683000
2017-08-17 04:41:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,2.53734000
2017-08-17 04:42:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,0.55225000
2017-08-17 04:43:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,0.00000000
2017-08-17 04:44:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,0.75578000
2017-08-17 04:45:00.000000,299.60000000,299.60000000,299.60000000,299.60000000,0.75878000
2017-08-17 04:46:00.000000,300.80000000,300.80000000,300.80000000,300.80000000,0.23323000
2017-08-17 04:47:00.000000,300.79000000,300.79000000,300.79000000,300.79000000,2.27645000
